EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,TOKEN_ADDRESS,AMOUNT,AMOUNT_USD
Transfered,2022-03-23 10:53:46.000,3njTHhpsZv15hmmXw99YDy5tL7Aewh3bEDtYx3wfsnMkvfoF3JuF2zKQHcth1qv4nXwQj8haSKaToqMyDitwhf9Z,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,121.62,121.61
Transfered,2022-03-23 11:32:17.000,H1yPDc7yDgi9pZpNRkxJCszZweTxD64rsFd11mTFvQx7nKHtuqW8Z9vS6zwSQzV55D6vMSFGxFJdNGtSk7iYd7z,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2051.38,2051.33
Transfered,2022-03-23 10:36:12.000,5X1oEuv9mDt1RF9LfggDuDxqX5aBvqjaTHEMXtoBzyPuoBJbJM7wykG5E7NM5SMUN9F6nngB9Zw5bkkFEaTL1MvD,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1341.3,1341.26
Transfered,2022-03-23 10:18:00.000,2bSenvZB4TFTevoEPXbMRrr2k3nLGwkm6xC6EaA9yVhpDTVWi2JSz8JWZnfuANzW1yaX8DXkP1dAK1Ej7ey6Hcgp,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4299.48,4299.36
Transfered,2022-03-23 11:08:54.000,3BN8d9dkKbsfVJTBs691yoEBtTekq5u9SCZhr9fr3geTvTPpz8y5YdYSsH3b49WtWaiDL1Ertpo8XwmdBiVJeQW,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,105.1,105.09
Transfered,2022-03-23 09:33:43.000,LtLAbRY4aHqTUT5Pausdx23iMUFiiEsrBm4xnmJg87Ntg2ZrfDqPuri1JSHWHUfhKh6a4aXBP25LyyKx6Qna6Q4,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,424.1,424.09
Transfered,2022-03-23 11:29:34.000,5VkWJoX4hFYAx1iJwuLhrti4SEdjKzRUMzx2iMZKPF3QHddThhESBCUCmAyq52qUWoWPPrUYFeTiAE2PjDSwaxYZ,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10104.6,10104.32
Transfered,2022-03-23 10:32:38.000,WCmJk8GeNJaKjsYiVkQdibKARAjAn4zf3AS6nMFyLPvpRkgswmBNJ3zWHC6hXQ655FHrDVf3pvAs3vwLJXV1A7k,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1486.76,1486.72
Transfered,2022-03-23 11:09:08.000,5YKuM2rNQC3sq1n8FqVCvth3cCSbJnvfcq5E2cwuKGX2ft982zSvt36pj4Jk76ecHCvqrgBpyacgZ8LijEXVEDM4,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104.85,104.85
Transfered,2022-03-23 09:11:40.000,5FXh84goKAeQPNkrcrGtjreoh49dZzATPrdr3AyRSnsEc4K769U7FhLFEeWAaJT5dL88RNK2J6nutxt4wgpwECcE,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2712.27,2712.19
