TIME_GAP,LABELS,NARRATION,BLOCK_TIMESTAMP
0,Hacker_Wallet_2,Exploiter Transfered 22.39SOL from 6GmtMVNbHd3s8LkdZHD3NbvChmErASUXCctdExD9FaeD worth 915.4USD 0 minutes later,2022-08-02 22:48:45.000
0,Hacker_Wallet_2,Exploiter Transfered 22.64SOL from 8pGfoivo9Bukh21uH6pVbQsARG2W7UCi82PhKeVJUDFT worth 925.59USD 0 minutes later,2022-08-02 22:48:46.000
0,Hacker_Wallet_1,Exploiter Transfered 114.03SOL from C1d6GQ4aeKUqwWXXpUaUHKCA9zNY3PF1b83jZ1MWvyvo worth 4662.07USD 0 minutes later,2022-08-02 22:48:46.000
0,Hacker_Wallet_1,Exploiter Transfered 4966.98USDC from 75eUcRtsVjmqkw2nSfBycqwLQgxq3d4wRy49UyTAgF87 worth 4970.28USD 0 minutes later,2022-08-02 22:48:48.000
0,Hacker_Wallet_1,Exploiter Transfered 4909.52USDC from DKuTBpkCdJ6unXmHvXHi2W6k5Rz9VRbuKMEmDKESpTr6 worth 4912.78USD 0 minutes later,2022-08-02 22:48:48.000
0,Hacker_Wallet_2,Exploiter Transfered 1013.43USDC from 7dHpDwJacsQv5QCdyTQRDWQzrKGwtF9M4GxQHVZY8Jh7 worth 1014.1USD 0 minutes later,2022-08-02 22:48:48.000
0,Hacker_Wallet_1,Exploiter Transfered 5034.02USDC from DJg1GAFDG3TW1UjHDSkJyC6gFGo6WQMKK6btHWTXgR1o worth 5037.36USD 0 minutes later,2022-08-02 22:48:48.000
0,Hacker_Wallet_2,Exploiter Transfered 22.27SOL from 5RmtMphiVkSQfz4EwwW6MPgebTr1x214jmEpkCpypgiM worth 910.51USD 0 minutes later,2022-08-02 22:48:48.000
0,Hacker_Wallet_2,Exploiter Transfered 21.85SOL from GpGzJCscsN1TeiMySBeNqYUuUmKFTx2PjuupqWbQr7kG worth 893.41USD 0 minutes later,2022-08-02 22:48:52.000
0,Hacker_Wallet_2,Exploiter Transfered 0.09SOBTC from GpGzJCscsN1TeiMySBeNqYUuUmKFTx2PjuupqWbQr7kG worth 1962.07USD 0 minutes later,2022-08-02 22:48:52.000
0,Hacker_Wallet_1,Exploiter Transfered 4832.72USDC from 4adZX5dxmitvyPbqCQXwGn88y1PxCE2EjEbwqPf9HvcA worth 4835.93USD 0 minutes later,2022-08-02 22:48:52.000
0,Hacker_Wallet_1,Exploiter Transfered 4873.18USDC from 58bvH6P3Z9jYRT7jZwQxcK5m3BECUeavGp5QwZ2mKFVA worth 4876.41USD 0 minutes later,2022-08-02 22:48:52.000
0,Hacker_Wallet_2,Exploiter Transfered 64.05MSOL from GpGzJCscsN1TeiMySBeNqYUuUmKFTx2PjuupqWbQr7kG worth 2768.09USD 0 minutes later,2022-08-02 22:48:52.000
0,Hacker_Wallet_1,Exploiter Transfered 110.67SOL from 5oNEcuaStTnJjwUGdW3t2RN2AW6FJW2znD3okXxoh58r worth 4524.51USD 0 minutes later,2022-08-02 22:48:52.000
0,Hacker_Wallet_2,Exploiter Transfered 0.19ETH from GpGzJCscsN1TeiMySBeNqYUuUmKFTx2PjuupqWbQr7kG worth 311.78USD 0 minutes later,2022-08-02 22:48:55.000
0,Hacker_Wallet_2,Exploiter Transfered 7.27FTT from GpGzJCscsN1TeiMySBeNqYUuUmKFTx2PjuupqWbQr7kG worth 214.95USD 0 minutes later,2022-08-02 22:48:56.000
0,Hacker_Wallet_1,Exploiter Transfered 108.06SOL from CdadiD1ZQipmY9TQdTwiZyFr3dGi2RFHS6UfhRx7UD38 worth 4417.92USD 0 minutes later,2022-08-02 22:48:57.000
0,Hacker_Wallet_2,Exploiter Transfered 30.73SOL from 87GanETivYTQVhu3pQeRWyRXUMmGAGeoRsqJVsjzVSjG worth 1256.22USD 0 minutes later,2022-08-02 22:48:57.000
0,Hacker_Wallet_1,Exploiter Transfered 4825.24USDC from 646FyAJJ5L7wXkJj97U7zTQKsyvWYhBpGcTJZyiA1dGV worth 4828.44USD 0 minutes later,2022-08-02 22:48:58.000
0,Hacker_Wallet_2,Exploiter Transfered 21.79SOL from BB6PimypURu99NH3rfAMxCGX9QYKEgD4iCU1cyvB7RZH worth 890.88USD 0 minutes later,2022-08-02 22:48:58.000
0,Hacker_Wallet_2,Exploiter Transfered 22.99SOL from 8jhnACEnn75CnYsDuiigRhe2NfiUuGxM8MGGWV3euHwK worth 939.9USD 0 minutes later,2022-08-02 22:48:58.000
1,Hacker_Wallet_1,Exploiter Transfered 4700.96USDC from yEtdARAumDdgkkAi13i7kRSGpNxQYwGe2zYUmRHUGGj worth 4704.08USD 1 minutes later,2022-08-02 22:49:00.000
0,Hacker_Wallet_2,Exploiter Transfered 21.84SOL from DHeZTZFHF9xYXL3pX2LSnJPqsZ1mBWUc6JiEg2xdev1F worth 893.07USD 0 minutes later,2022-08-02 22:49:01.000
0,Hacker_Wallet_1,Exploiter Transfered 4179.63USDC from HxdMfotaVWLcwQWDM2TbieDBgLWYG5Anerdu98Gw4gqn worth 4182.4USD 0 minutes later,2022-08-02 22:49:01.000
0,Hacker_Wallet_2,Exploiter Transfered 732.63SHDW from 96StvqZyFUPtyMr4o9s7K4V29RSNyRpVi76vNwxG5rUf worth 319.53USD 0 minutes later,2022-08-02 22:49:04.000
0,Hacker_Wallet_2,Exploiter Transfered 224.62ABR from 96StvqZyFUPtyMr4o9s7K4V29RSNyRpVi76vNwxG5rUf worth 243.49USD 0 minutes later,2022-08-02 22:49:04.000
0,Hacker_Wallet_1,Exploiter Transfered 104.45SOL from AaNKkGYkrM9NAXN1Yj7u19Q6nZsTw1QaC64DALtdmZh7 worth 4270.28USD 0 minutes later,2022-08-02 22:49:04.000
0,Hacker_Wallet_2,Exploiter Transfered 4.34SOL from 96StvqZyFUPtyMr4o9s7K4V29RSNyRpVi76vNwxG5rUf worth 177.32USD 0 minutes later,2022-08-02 22:49:05.000
0,Hacker_Wallet_1,Exploiter Transfered 3005.11GMT from AaNKkGYkrM9NAXN1Yj7u19Q6nZsTw1QaC64DALtdmZh7 worth 2789.01USD 0 minutes later,2022-08-02 22:49:05.000
