DATE1,TIMEFRAME,LOW,HIGH,OPEN,CLOSE
2024-01-09 00:00:00.000,After_hack,0.01748940477,0.01812054906,0.01771608402,0.01748940477
2024-01-08 00:00:00.000,After_hack,0.01764356577,0.01845055419,0.01831122033,0.01771127862
2024-01-07 00:00:00.000,After_hack,0.01797656725,0.01874833917,0.01853765623,0.01849995882
2024-01-06 00:00:00.000,After_hack,0.01889524683,0.01995604761,0.01942274516,0.01912841642
2024-01-05 00:00:00.000,After_hack,0.01934514173,0.02153800217,0.02153800217,0.01935054901
2024-01-04 00:00:00.000,After_hack,0.02054921374,0.02163883676,0.02135337625,0.02114470305
2024-01-03 00:00:00.000,After_hack,0.02136926896,0.02368497802,0.02368497802,0.02136926896
2024-01-02 00:00:00.000,After_hack,0.02334127577,0.02401245754,0.02401245754,0.02358177238
2024-01-01 00:00:00.000,After_hack,0.02372250474,0.02424673024,0.02422043705,0.023873746
2023-12-31 00:00:00.000,After_hack,0.02409432509,0.02528836829,0.02433430193,0.02409432509
2023-12-30 00:00:00.000,After_hack,0.02374804955,0.02478144139,0.02386356826,0.02427294918
2023-12-29 00:00:00.000,After_hack,0.02375342076,0.02500328408,0.02484267505,0.02375342076
2023-12-28 00:00:00.000,After_hack,0.02474226979,0.02728099373,0.0271984833,0.02477830677
2023-12-27 00:00:00.000,After_hack,0.02560684212,0.02746053367,0.0257807236,0.02706088582
2023-12-26 00:00:00.000,After_hack,0.02572925613,0.02722575812,0.02708058313,0.02572925613
2023-12-25 00:00:00.000,After_hack,0.02479523537,0.02750398987,0.02734591427,0.02683558397
2023-12-24 00:00:00.000,After_hack,0.02402603401,0.02760769276,0.02578002746,0.02712892899
2023-12-23 00:00:00.000,After_hack,0.02414322386,0.0250256007,0.02435708264,0.02446113981
2023-12-22 00:00:00.000,After_hack,0.02420946695,0.02567135905,0.02496834299,0.02422560956
2023-12-21 00:00:00.000,After_hack,0.02412295792,0.02544091141,0.02478708246,0.02526272409
2023-12-20 00:00:00.000,After_hack,0.02376961605,0.02541256542,0.02376961605,0.02497898809
2023-12-19 00:00:00.000,After_hack,0.02325555755,0.02554143969,0.023388775,0.02374600469
2023-12-18 00:00:00.000,After_hack,0.02289153134,0.02606289989,0.02482585648,0.02336162384
2023-12-17 00:00:00.000,After_hack,0.02368424783,0.02717497246,0.02717497246,0.02368424783
2023-12-16 00:00:00.000,After_hack,0.02254510582,0.02566703111,0.02278043427,0.02512948764
2023-12-15 00:00:00.000,After_hack,0.02259643161,0.02399981836,0.02269660964,0.02284049592
2023-12-14 00:00:00.000,After_hack,0.0221984381,0.02533742697,0.02516650644,0.02282335956
2023-12-13 00:00:00.000,After_hack,0.0216663078,0.02595938662,0.02531863301,0.02595938662
2023-12-12 00:00:00.000,After_hack,0.02295491512,0.0298078018,0.02335000464,0.02465493757
2023-12-11 00:00:00.000,After_hack,0.02144489991,0.0229518664,0.02146648448,0.0229518664
2023-12-10 00:00:00.000,After_hack,0.02037159143,0.02182656362,0.02062379735,0.02161938267
2023-12-09 00:00:00.000,After_hack,0.02118778709,0.0224779574,0.02213588127,0.02153983296
2023-12-08 00:00:00.000,After_hack,0.01848994127,0.02225636154,0.01869643626,0.02170995171
2023-12-07 00:00:00.000,After_hack,0.01841319623,0.01896630544,0.01887200577,0.01871795038
2023-12-06 00:00:00.000,After_hack,0.01871913799,0.02006216601,0.01929554419,0.01890861634
2023-12-05 00:00:00.000,After_hack,0.01890571911,0.01949519729,0.01940878972,0.01924669811
2023-12-04 00:00:00.000,After_hack,0.01888815669,0.02051695122,0.02051695122,0.01939365926
2023-12-03 00:00:00.000,After_hack,0.02009859626,0.02116818719,0.02097863652,0.02046672629
2023-12-02 00:00:00.000,After_hack,0.02074888671,0.02187189214,0.02187189214,0.02092429769
