EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
Transfered,2023-01-23 20:41:05.000,3gT5VW9Y5kyG2mNQEP39ZhCPbv6aW22GWbtpnD5ydDjT8n2TmpUvpkUgNdZhd72L88hXJHCcxfEcmvH7KaeFq9Yi,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,STSOL,379.12,10007.2
Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,45276.03,45776.11
Transfered,2023-01-24 00:15:49.000,67KNcq2Q4r5dxGnPxYKyGriWMoxRwEyrZeHYnDz8MzREqcv2sMad9PtkxoS5RjtxgjJHcvd8ihtjMw9YhpDYcyRL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,18921.7,19130.69
Transfered,2023-01-24 00:23:34.000,5HKyoRs73VRgJVpJUvRj22rpQMp3mqtcd9WeGWkZWBqkDqHc83SjLzviuaYUSth9BFMaTzBVXhKeSSenXrHYNjxx,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,175654.16,177594.28
Transfered,2023-01-24 00:33:41.000,xmkb1DXVpHsthUUBymqaDUuBw4K3UJL76wTAYu2ntFpwKueoCmTQJPLWTURooy31ifqrGMoJYApRMmemQSX2env,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDCET,92958.13,93984.87
Transfered,2023-01-24 00:15:49.000,67KNcq2Q4r5dxGnPxYKyGriWMoxRwEyrZeHYnDz8MzREqcv2sMad9PtkxoS5RjtxgjJHcvd8ihtjMw9YhpDYcyRL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,391275.9,395597.58
Transfered,2023-01-24 00:38:30.000,4WD2FoP8mimqZhZ1FQwVYvS2cEbasm4uXbqXiMQcnGjWPA16LPwvSzH1smdmzEwTYupLBMSpDV3ys8jFrq1aAFPV,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDCET,45276.03,45776.11
Transfered,2023-01-24 00:16:43.000,55pat5y8F2kEPWnp7H67AHWfNJanY9f1c5ks98pGjtTvZCjGFhZGQ9vfJSACAfT3AejA7QH6a9TrnNmDM8ATMwda,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDCET,410197.6,414728.27
Transfered,2023-01-24 00:25:17.000,2YWUxaWJihAfRYXHUjnuzsqwEMoZNQ8SgTUeqfASfcsdEH2SXEhK3iKU7kWAqPhKEQ82jZV8JoGGUbAvaav9jgMT,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDCET,175654.16,177594.28
Transfered,2023-01-24 00:31:30.000,Tf9jp8ohJoMpoDX5i2uUYGdgoj1QA6nyg2ErxLzp4jxswQHByMdAGEuX8KUDpGF8Hbgv3XGEgnbKtNrkgbBSKoB,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,92958.13,93984.87
Transfered,2022-02-02 18:56:28.000,29Rb5q5hYb2bxMKNeT2jkJ4WLqgGWqYmA8aNvrE5vG8BTtHMUDesxbyGMcmGaZj3tqXDacPQAQkPbz1kaF5fYer6,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,ETH,1866.84,5108261.96
Transfered,2022-02-02 18:56:28.000,29Rb5q5hYb2bxMKNeT2jkJ4WLqgGWqYmA8aNvrE5vG8BTtHMUDesxbyGMcmGaZj3tqXDacPQAQkPbz1kaF5fYer6,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,0,0
